p_1169;-3.836289;-38.559161
p_1168;-3.838827;-38.561805
p_1173;-3.838266;-38.55975
p_1171;-3.83746;-38.558568
p_1177;-3.839729;-38.558371
p_1178;-3.840529;-38.558614
p_1175;-3.836339;-38.557362
p_1176;-3.838114;-38.557729
p_1170;-3.83751;-38.559393
p_1179;-3.841019;-38.559707
p_1182;-3.841206;-38.562506
p_1183;-3.843444;-38.565385
p_1184;-3.837091;-38.554433
p_1185;-3.838839;-38.555429
p_1186;-3.838282;-38.557197
p_1189;-3.832353;-38.499845
p_1180;-3.843297;-38.563935
p_1181;-3.843148;-38.56392
p_1199;-3.832176;-38.497197
p_1197;-3.834804;-38.496316
p_1198;-3.832489;-38.497202
p_1195;-3.834844;-38.498622
p_1196;-3.834769;-38.4979
p_1193;-3.83537;-38.499001
p_1194;-3.835264;-38.499143
p_1191;-3.834966;-38.500635
p_1190;-3.832471;-38.499991
p_3388;-3.813498;-38.529425
p_3389;-3.813413;-38.52972
p_3386;-3.810212;-38.534527
p_3384;-3.814168;-38.541454
p_3385;-3.811734;-38.535181
p_3382;-3.815583;-38.539884
p_719;-3.826749;-38.491031
p_718;-3.821849;-38.483771
p_725;-3.825209;-38.49156
p_726;-3.82362;-38.489841
p_727;-3.824926;-38.488124
p_728;-3.82501;-38.488064
p_721;-3.827006;-38.489057
p_722;-3.826943;-38.488957
p_723;-3.823519;-38.491287
p_724;-3.825091;-38.491772
p_720;-3.826682;-38.490933
p_3379;-3.816003;-38.538465
p_3375;-3.813836;-38.537939
p_3376;-3.814647;-38.537702
p_3378;-3.814696;-38.536664
p_3372;-3.811705;-38.53725
p_3374;-3.812639;-38.535895
p_3370;-3.810062;-38.537352
p_729;-3.825183;-38.486848
p_737;-3.826605;-38.481698
p_734;-3.824101;-38.486677
p_735;-3.824038;-38.486536
p_732;-3.823955;-38.487845
p_733;-3.823885;-38.487722
p_730;-3.82512;-38.486715
p_731;-3.825379;-38.485256
p_3369;-3.810252;-38.540503
p_3362;-3.790112;-38.509937
p_3363;-3.787679;-38.5111
p_6050;-3.845685;-38.524008
p_3360;-3.787988;-38.510448
p_6052;-3.855603;-38.519919
p_3367;-3.812615;-38.543266
p_6054;-3.863791;-38.505825
p_3364;-3.81114;-38.544472
p_6056;-3.894529;-38.514154
p_701;-3.826051;-38.55107
p_702;-3.825923;-38.550893
p_704;-3.82331;-38.551388
p_705;-3.8231;-38.551254
p_706;-3.714942;-38.545792
p_3359;-3.786798;-38.509396
p_3358;-3.78664;-38.507469
p_3357;-3.789432;-38.503339
p_3350;-3.783186;-38.507924
p_3351;-3.782373;-38.506522
p_3352;-3.782443;-38.505368
p_3354;-3.787264;-38.504324
p_3355;-3.786664;-38.505711
p_3356;-3.78943;-38.50359
p_709;-3.71684;-38.541782
p_708;-3.716563;-38.540484
p_707;-3.717009;-38.54035
p_5600;-3.750774;-38.548555
p_712;-3.718236;-38.537396
p_713;-3.718005;-38.53518
p_711;-3.717852;-38.537637
p_716;-3.821059;-38.490445
p_717;-3.8223;-38.483686
p_714;-3.81892;-38.49022
p_715;-3.818987;-38.490303
p_3347;-3.785267;-38.511733
p_3346;-3.785189;-38.512219
p_3349;-3.784049;-38.509386
p_3348;-3.784841;-38.510674
p_5622;-3.700347;-38.573586
