Iniciando BruteForce:{
	Grafo:Mumbai-network-osm-2019-1_2
	Threads: 8
	Raio: 100
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T2): 10.00%	ODs: 125/10000(001%)	Tempo: 10.99470
Progresso (T3): 10.00%	ODs: 250/10000(003%)	Tempo: 11.77081
Progresso (T4): 10.00%	ODs: 375/10000(004%)	Tempo: 12.58368
Progresso (T1): 10.00%	ODs: 500/10000(005%)	Tempo: 12.60007
Progresso (T8): 10.00%	ODs: 625/10000(006%)	Tempo: 13.08297
Progresso (T5): 10.00%	ODs: 750/10000(008%)	Tempo: 13.23777
Progresso (T7): 10.00%	ODs: 875/10000(009%)	Tempo: 13.75330
Progresso (T6): 10.00%	ODs: 1000/10000(010%)	Tempo: 13.79517
Progresso (T2): 20.00%	ODs: 1125/10000(011%)	Tempo: 23.54671
Progresso (T3): 20.00%	ODs: 1250/10000(013%)	Tempo: 25.14876
Progresso (T6): 20.00%	ODs: 1375/10000(014%)	Tempo: 25.18169
Progresso (T4): 20.00%	ODs: 1500/10000(015%)	Tempo: 25.51082
Progresso (T8): 20.00%	ODs: 1625/10000(016%)	Tempo: 25.64183
Progresso (T7): 20.00%	ODs: 1750/10000(018%)	Tempo: 26.38127
Progresso (T1): 20.00%	ODs: 1875/10000(019%)	Tempo: 26.55439
Progresso (T5): 20.00%	ODs: 2000/10000(020%)	Tempo: 26.71801
Progresso (T2): 30.00%	ODs: 2125/10000(021%)	Tempo: 33.45670
Progresso (T6): 30.00%	ODs: 2250/10000(023%)	Tempo: 34.91123
Progresso (T4): 30.00%	ODs: 2375/10000(024%)	Tempo: 36.40426
Progresso (T7): 30.00%	ODs: 2500/10000(025%)	Tempo: 37.58331
Progresso (T8): 30.00%	ODs: 2625/10000(026%)	Tempo: 37.93746
Progresso (T3): 30.00%	ODs: 2750/10000(028%)	Tempo: 39.90701
Progresso (T5): 30.00%	ODs: 2875/10000(029%)	Tempo: 40.28061
Progresso (T1): 30.00%	ODs: 3000/10000(030%)	Tempo: 40.54629
Progresso (T2): 40.00%	ODs: 3125/10000(031%)	Tempo: 47.47884
Progresso (T6): 40.00%	ODs: 3250/10000(033%)	Tempo: 48.17811
Progresso (T4): 40.00%	ODs: 3375/10000(034%)	Tempo: 48.49801
Progresso (T7): 40.00%	ODs: 3500/10000(035%)	Tempo: 49.97216
Progresso (T8): 40.00%	ODs: 3625/10000(036%)	Tempo: 51.92117
Progresso (T3): 40.00%	ODs: 3750/10000(038%)	Tempo: 52.72852
Progresso (T1): 40.00%	ODs: 3875/10000(039%)	Tempo: 53.38103
Progresso (T5): 40.00%	ODs: 4000/10000(040%)	Tempo: 54.43059
Progresso (T2): 50.00%	ODs: 4125/10000(041%)	Tempo: 58.89690
Progresso (T7): 50.00%	ODs: 4250/10000(043%)	Tempo: 61.79878
Progresso (T4): 50.00%	ODs: 4375/10000(044%)	Tempo: 61.94822
Progresso (T6): 50.00%	ODs: 4500/10000(045%)	Tempo: 63.08560
Progresso (T3): 50.00%	ODs: 4625/10000(046%)	Tempo: 63.75824
Progresso (T8): 50.00%	ODs: 4750/10000(048%)	Tempo: 67.52541
Progresso (T1): 50.00%	ODs: 4875/10000(049%)	Tempo: 68.19401
Progresso (T5): 50.00%	ODs: 5000/10000(050%)	Tempo: 71.40150
Progresso (T2): 60.00%	ODs: 5125/10000(051%)	Tempo: 73.15778
Progresso (T6): 60.00%	ODs: 5250/10000(053%)	Tempo: 74.81119
Progresso (T3): 60.00%	ODs: 5375/10000(054%)	Tempo: 75.15543
Progresso (T7): 60.00%	ODs: 5500/10000(055%)	Tempo: 78.24352
Progresso (T8): 60.00%	ODs: 5625/10000(056%)	Tempo: 80.05329
Progresso (T4): 60.00%	ODs: 5750/10000(058%)	Tempo: 80.78931
Progresso (T1): 60.00%	ODs: 5875/10000(059%)	Tempo: 81.80047
Progresso (T5): 60.00%	ODs: 6000/10000(060%)	Tempo: 82.79394
Progresso (T2): 70.00%	ODs: 6125/10000(061%)	Tempo: 86.34422
Progresso (T3): 70.00%	ODs: 6250/10000(063%)	Tempo: 87.45609
Progresso (T6): 70.00%	ODs: 6375/10000(064%)	Tempo: 90.59032
Progresso (T7): 70.00%	ODs: 6500/10000(065%)	Tempo: 91.29866
Progresso (T4): 70.00%	ODs: 6625/10000(066%)	Tempo: 91.59184
Progresso (T8): 70.00%	ODs: 6750/10000(068%)	Tempo: 93.04052
Progresso (T1): 70.00%	ODs: 6875/10000(069%)	Tempo: 95.57020
Progresso (T2): 80.00%	ODs: 7000/10000(070%)	Tempo: 96.06176
Progresso (T5): 70.00%	ODs: 7125/10000(071%)	Tempo: 99.88884
Progresso (T4): 80.00%	ODs: 7250/10000(073%)	Tempo: 101.16927
Progresso (T3): 80.00%	ODs: 7375/10000(074%)	Tempo: 101.92647
Progresso (T8): 80.00%	ODs: 7500/10000(075%)	Tempo: 104.70446
Progresso (T2): 90.00%	ODs: 7625/10000(076%)	Tempo: 106.10140
Progresso (T1): 80.00%	ODs: 7750/10000(078%)	Tempo: 106.39400
Progresso (T7): 80.00%	ODs: 7875/10000(079%)	Tempo: 109.33368
Progresso (T6): 80.00%	ODs: 8000/10000(080%)	Tempo: 109.64566
Progresso (T3): 90.00%	ODs: 8125/10000(081%)	Tempo: 112.08720
Progresso (T5): 80.00%	ODs: 8250/10000(083%)	Tempo: 113.29281
Progresso (T4): 90.00%	ODs: 8375/10000(084%)	Tempo: 113.54766
Progresso (T8): 90.00%	ODs: 8500/10000(085%)	Tempo: 114.48630
Progresso (T2): 100.00%	ODs: 8625/10000(086%)	Tempo: 118.29621
		Fim: T2
Progresso (T6): 90.00%	ODs: 8750/10000(088%)	Tempo: 119.94721
Progresso (T7): 90.00%	ODs: 8875/10000(089%)	Tempo: 122.38980
Progresso (T3): 100.00%	ODs: 9000/10000(090%)	Tempo: 123.71715
		Fim: T3
Progresso (T4): 100.00%	ODs: 9125/10000(091%)	Tempo: 123.92832
		Fim: T4
Progresso (T1): 90.00%	ODs: 9250/10000(093%)	Tempo: 124.55875
Progresso (T8): 100.00%	ODs: 9375/10000(094%)	Tempo: 128.93380
		Fim: T8
Progresso (T5): 90.00%	ODs: 9500/10000(095%)	Tempo: 130.33543
Progresso (T6): 100.00%	ODs: 9625/10000(096%)	Tempo: 133.21028
		Fim: T6
Progresso (T7): 100.00%	ODs: 9750/10000(098%)	Tempo: 133.42506
		Fim: T7
Progresso (T1): 100.00%	ODs: 9875/10000(099%)	Tempo: 136.37171
		Fim: T1
Progresso (T5): 100.00%	ODs: 10000/10000(100%)	Tempo: 138.43309
		Fim: T5

Quantidade de rotas: 10000
Status: Found Qtd.: 10000
Tempo decorrido para BruteForce para 100 metros = 1036.31562541333
para o arquivo: Mumbai-network-osm-2019-1_2

