Iniciando BruteForce:{
	Grafo:Mumbai-network-osm-2019-1_2
	Threads: 8
	Raio: 150
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T2): 10.00%	ODs: 125/10000(001%)	Tempo: 28.63663
Progresso (T1): 10.00%	ODs: 250/10000(003%)	Tempo: 30.44819
Progresso (T3): 10.00%	ODs: 375/10000(004%)	Tempo: 30.93683
Progresso (T4): 10.00%	ODs: 500/10000(005%)	Tempo: 32.56810
Progresso (T7): 10.00%	ODs: 625/10000(006%)	Tempo: 33.26849
Progresso (T8): 10.00%	ODs: 750/10000(008%)	Tempo: 34.01608
Progresso (T6): 10.00%	ODs: 875/10000(009%)	Tempo: 35.26040
Progresso (T5): 10.00%	ODs: 1000/10000(010%)	Tempo: 36.26805
Progresso (T6): 20.00%	ODs: 1125/10000(011%)	Tempo: 62.19857
Progresso (T2): 20.00%	ODs: 1250/10000(013%)	Tempo: 63.04346
Progresso (T3): 20.00%	ODs: 1375/10000(014%)	Tempo: 65.66677
Progresso (T4): 20.00%	ODs: 1500/10000(015%)	Tempo: 65.97844
Progresso (T7): 20.00%	ODs: 1625/10000(016%)	Tempo: 66.30298
Progresso (T8): 20.00%	ODs: 1750/10000(018%)	Tempo: 67.47414
Progresso (T1): 20.00%	ODs: 1875/10000(019%)	Tempo: 69.12481
Progresso (T5): 20.00%	ODs: 2000/10000(020%)	Tempo: 70.32681
Progresso (T6): 30.00%	ODs: 2125/10000(021%)	Tempo: 86.69126
Progresso (T2): 30.00%	ODs: 2250/10000(023%)	Tempo: 89.14765
Progresso (T7): 30.00%	ODs: 2375/10000(024%)	Tempo: 94.46182
Progresso (T4): 30.00%	ODs: 2500/10000(025%)	Tempo: 97.63828
Progresso (T8): 30.00%	ODs: 2625/10000(026%)	Tempo: 99.58115
Progresso (T1): 30.00%	ODs: 2750/10000(028%)	Tempo: 104.79426
Progresso (T3): 30.00%	ODs: 2875/10000(029%)	Tempo: 104.80158
Progresso (T5): 30.00%	ODs: 3000/10000(030%)	Tempo: 110.28570
Progresso (T6): 40.00%	ODs: 3125/10000(031%)	Tempo: 121.20534
Progresso (T2): 40.00%	ODs: 3250/10000(033%)	Tempo: 124.29677
