Iniciando BruteForce:{
	Grafo:Mumbai-network-osm-2019-1_2
	Threads: 8
	Raio: 250
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T4): 10.00%	ODs: 125/10000(001%)	Tempo: 118.89537
Progresso (T1): 10.00%	ODs: 250/10000(003%)	Tempo: 124.34136
Progresso (T7): 10.00%	ODs: 375/10000(004%)	Tempo: 130.17068
Progresso (T2): 10.00%	ODs: 500/10000(005%)	Tempo: 133.78192
Progresso (T3): 10.00%	ODs: 625/10000(006%)	Tempo: 139.21977
Progresso (T8): 10.00%	ODs: 750/10000(008%)	Tempo: 141.24648
Progresso (T6): 10.00%	ODs: 875/10000(009%)	Tempo: 152.45215
Progresso (T5): 10.00%	ODs: 1000/10000(010%)	Tempo: 156.44818
Progresso (T4): 20.00%	ODs: 1125/10000(011%)	Tempo: 257.81428
Progresso (T6): 20.00%	ODs: 1250/10000(013%)	Tempo: 260.75608
Progresso (T1): 20.00%	ODs: 1375/10000(014%)	Tempo: 274.85033
Progresso (T2): 20.00%	ODs: 1500/10000(015%)	Tempo: 275.56395
Progresso (T7): 20.00%	ODs: 1625/10000(016%)	Tempo: 279.30231
Progresso (T8): 20.00%	ODs: 1750/10000(018%)	Tempo: 281.47112
Progresso (T5): 20.00%	ODs: 1875/10000(019%)	Tempo: 283.06498
Progresso (T3): 20.00%	ODs: 2000/10000(020%)	Tempo: 289.61164
Progresso (T6): 30.00%	ODs: 2125/10000(021%)	Tempo: 366.19718
Progresso (T4): 30.00%	ODs: 2250/10000(023%)	Tempo: 388.61592
Progresso (T2): 30.00%	ODs: 2375/10000(024%)	Tempo: 391.19261
Progresso (T7): 30.00%	ODs: 2500/10000(025%)	Tempo: 395.73149
Progresso (T8): 30.00%	ODs: 2625/10000(026%)	Tempo: 409.59417
Progresso (T1): 30.00%	ODs: 2750/10000(028%)	Tempo: 420.29276
Progresso (T5): 30.00%	ODs: 2875/10000(029%)	Tempo: 436.02241
Progresso (T3): 30.00%	ODs: 3000/10000(030%)	Tempo: 461.01159
Progresso (T2): 40.00%	ODs: 3125/10000(031%)	Tempo: 517.22267
Progresso (T6): 40.00%	ODs: 3250/10000(033%)	Tempo: 517.44516
Progresso (T4): 40.00%	ODs: 3375/10000(034%)	Tempo: 520.59605
Progresso (T7): 40.00%	ODs: 3500/10000(035%)	Tempo: 537.90857
Progresso (T1): 40.00%	ODs: 3625/10000(036%)	Tempo: 548.25890
Progresso (T8): 40.00%	ODs: 3750/10000(038%)	Tempo: 584.30118
Progresso (T3): 40.00%	ODs: 3875/10000(039%)	Tempo: 593.22158
Progresso (T5): 40.00%	ODs: 4000/10000(040%)	Tempo: 616.76777
Progresso (T2): 50.00%	ODs: 4125/10000(041%)	Tempo: 654.96614
