Iniciando Collapse:{
	Grafo:Fortaleza-network-osm-2019-1_1
	Threads: 8
	Raio: 200
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T7): 10.00%	ODs: 125/10000(001%)	Tempo: 12.02230
Progresso (T3): 10.00%	ODs: 250/10000(003%)	Tempo: 12.54774
Progresso (T2): 10.00%	ODs: 375/10000(004%)	Tempo: 13.23565
Progresso (T1): 10.00%	ODs: 500/10000(005%)	Tempo: 13.42644
Progresso (T5): 10.00%	ODs: 625/10000(006%)	Tempo: 13.42816
Progresso (T6): 10.00%	ODs: 750/10000(008%)	Tempo: 13.48843
Progresso (T4): 10.00%	ODs: 875/10000(009%)	Tempo: 13.80254
Progresso (T8): 10.00%	ODs: 1000/10000(010%)	Tempo: 13.83760
Progresso (T7): 20.00%	ODs: 1125/10000(011%)	Tempo: 25.18700
Progresso (T2): 20.00%	ODs: 1250/10000(013%)	Tempo: 25.32367
Progresso (T3): 20.00%	ODs: 1375/10000(014%)	Tempo: 26.33711
Progresso (T5): 20.00%	ODs: 1500/10000(015%)	Tempo: 26.64042
Progresso (T1): 20.00%	ODs: 1625/10000(016%)	Tempo: 26.91202
Progresso (T6): 20.00%	ODs: 1750/10000(018%)	Tempo: 27.23142
Progresso (T8): 20.00%	ODs: 1875/10000(019%)	Tempo: 27.33029
Progresso (T4): 20.00%	ODs: 2000/10000(020%)	Tempo: 27.65919
Progresso (T3): 30.00%	ODs: 2125/10000(021%)	Tempo: 39.06156
Progresso (T2): 30.00%	ODs: 2250/10000(023%)	Tempo: 39.49541
Progresso (T5): 30.00%	ODs: 2375/10000(024%)	Tempo: 39.56878
Progresso (T7): 30.00%	ODs: 2500/10000(025%)	Tempo: 39.98340
Progresso (T8): 30.00%	ODs: 2625/10000(026%)	Tempo: 40.19530
Progresso (T1): 30.00%	ODs: 2750/10000(028%)	Tempo: 40.50284
Progresso (T6): 30.00%	ODs: 2875/10000(029%)	Tempo: 41.01231
Progresso (T4): 30.00%	ODs: 3000/10000(030%)	Tempo: 41.32694
Progresso (T3): 40.00%	ODs: 3125/10000(031%)	Tempo: 51.88261
Progresso (T2): 40.00%	ODs: 3250/10000(033%)	Tempo: 52.64978
Progresso (T5): 40.00%	ODs: 3375/10000(034%)	Tempo: 52.68722
Progresso (T7): 40.00%	ODs: 3500/10000(035%)	Tempo: 53.89930
Progresso (T1): 40.00%	ODs: 3625/10000(036%)	Tempo: 54.30570
Progresso (T4): 40.00%	ODs: 3750/10000(038%)	Tempo: 54.39609
Progresso (T6): 40.00%	ODs: 3875/10000(039%)	Tempo: 54.67605
Progresso (T8): 40.00%	ODs: 4000/10000(040%)	Tempo: 54.77224
Progresso (T3): 50.00%	ODs: 4125/10000(041%)	Tempo: 64.63360
Progresso (T2): 50.00%	ODs: 4250/10000(043%)	Tempo: 65.97878
Progresso (T5): 50.00%	ODs: 4375/10000(044%)	Tempo: 66.00990
Progresso (T1): 50.00%	ODs: 4500/10000(045%)	Tempo: 67.36577
Progresso (T7): 50.00%	ODs: 4625/10000(046%)	Tempo: 67.65303
Progresso (T6): 50.00%	ODs: 4750/10000(048%)	Tempo: 67.69068
Progresso (T4): 50.00%	ODs: 4875/10000(049%)	Tempo: 67.89744
Progresso (T8): 50.00%	ODs: 5000/10000(050%)	Tempo: 68.61673
Progresso (T3): 60.00%	ODs: 5125/10000(051%)	Tempo: 77.11073
Progresso (T2): 60.00%	ODs: 5250/10000(053%)	Tempo: 79.24542
Progresso (T5): 60.00%	ODs: 5375/10000(054%)	Tempo: 79.85214
Progresso (T1): 60.00%	ODs: 5500/10000(055%)	Tempo: 79.94774
Progresso (T4): 60.00%	ODs: 5625/10000(056%)	Tempo: 80.54117
Progresso (T8): 60.00%	ODs: 5750/10000(058%)	Tempo: 80.69638
Progresso (T7): 60.00%	ODs: 5875/10000(059%)	Tempo: 81.16755
Progresso (T6): 60.00%	ODs: 6000/10000(060%)	Tempo: 81.42464
Progresso (T3): 70.00%	ODs: 6125/10000(061%)	Tempo: 89.36821
Progresso (T2): 70.00%	ODs: 6250/10000(063%)	Tempo: 91.63619
Progresso (T5): 70.00%	ODs: 6375/10000(064%)	Tempo: 93.31671
Progresso (T1): 70.00%	ODs: 6500/10000(065%)	Tempo: 93.44622
Progresso (T4): 70.00%	ODs: 6625/10000(066%)	Tempo: 93.68776
Progresso (T8): 70.00%	ODs: 6750/10000(068%)	Tempo: 93.65992
Progresso (T7): 70.00%	ODs: 6875/10000(069%)	Tempo: 94.50584
Progresso (T6): 70.00%	ODs: 7000/10000(070%)	Tempo: 95.39435
Progresso (T3): 80.00%	ODs: 7125/10000(071%)	Tempo: 102.43073
Progresso (T2): 80.00%	ODs: 7250/10000(073%)	Tempo: 105.24906
Progresso (T4): 80.00%	ODs: 7375/10000(074%)	Tempo: 106.99938
Progresso (T5): 80.00%	ODs: 7500/10000(075%)	Tempo: 106.99198
Progresso (T1): 80.00%	ODs: 7625/10000(076%)	Tempo: 107.25052
Progresso (T8): 80.00%	ODs: 7750/10000(078%)	Tempo: 107.18555
Progresso (T7): 80.00%	ODs: 7875/10000(079%)	Tempo: 108.27557
Progresso (T6): 80.00%	ODs: 8000/10000(080%)	Tempo: 109.17519
Progresso (T3): 90.00%	ODs: 8125/10000(081%)	Tempo: 115.24146
Progresso (T2): 90.00%	ODs: 8250/10000(083%)	Tempo: 118.05516
Progresso (T4): 90.00%	ODs: 8375/10000(084%)	Tempo: 119.97666
Progresso (T5): 90.00%	ODs: 8500/10000(085%)	Tempo: 120.09428
Progresso (T1): 90.00%	ODs: 8625/10000(086%)	Tempo: 120.89076
Progresso (T8): 90.00%	ODs: 8750/10000(088%)	Tempo: 121.06653
Progresso (T7): 90.00%	ODs: 8875/10000(089%)	Tempo: 121.47756
Progresso (T6): 90.00%	ODs: 9000/10000(090%)	Tempo: 122.67730
